quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
0	0.375	1	1	0	0	3/4	1	1	3/32		1/16	3/2		3	69	0
3/8	0.125	1	1	3/32	3/32	3/4	1	1	1/32		1/32	1		-1	65	1
1/2	0.375	1	1	1/8	1/8	3/4	1	1	3/32		1/16	3/2		-2	70	2
7/8	0.125	1	1	7/32	7/32	3/4	1	1	1/32		1/32	1		1	67	3
1	1.0	1	1	1/4	1/4	3/4	2	2	1/4		1/4	1	1	-1	53	10
1	0.75	1	1	1/4	1/4	3/4	2	1	3/16		1/8	3/2		3	57	7
1	0.75	1	1	1/4	1/4	3/4	1	1	3/16		1/8	3/2		0	72	4
7/4	0.25	1	1	7/16	7/16	3/4	2	1	1/16		1/16	1		0	60	8
7/4	0.25	1	1	7/16	7/16	3/4	1	1	1/16		1/16	1		3	69	5
2	0.5	1	1	1/2	1/2	3/4	2	2	1/8		1/8	1	-1	-1	53	11
2	0.5	1	1	1/2	1/2	3/4	2	1	1/8		1/8	1		3	57	9
2	0.5	1	1	1/2	1/2	3/4	1	1	1/8		1/8	1		-1	65	6
3	0.375	2	2	0	0	3/4	1	1	3/32		1/16	3/2		2	74	12
27/8	0.125	2	2	3/32	3/32	3/4	1	1	1/32		1/32	1		-2	70	13
7/2	0.375	2	2	1/8	1/8	3/4	1	1	3/32		1/16	3/2		4	76	14
31/8	0.125	2	2	7/32	7/32	3/4	1	1	1/32		1/32	1		0	72	15
4	1.0	2	2	1/4	1/4	3/4	2	2	1/4		1/4	1	1	3	57	22
4	0.75	2	2	1/4	1/4	3/4	2	1	3/16		1/8	3/2		0	60	19
4	0.75	2	2	1/4	1/4	3/4	1	1	3/16		1/8	3/2		-1	77	16
19/4	0.25	2	2	7/16	7/16	3/4	2	1	1/16		1/16	1		-1	65	20
19/4	0.25	2	2	7/16	7/16	3/4	1	1	1/16		1/16	1		0	72	17
5	0.5	2	2	1/2	1/2	3/4	2	2	1/8		1/8	1	-1	3	57	23
5	0.5	2	2	1/2	1/2	3/4	2	1	1/8		1/8	1		0	60	21
5	0.5	2	2	1/2	1/2	3/4	1	1	1/8		1/8	1		3	69	18
6	0.375	3	3	0	0	3/4	1	1	3/32		1/16	3/2		-1	77	24
51/8	0.125	3	3	3/32	3/32	3/4	1	1	1/32		1/32	1		0	72	25
13/2	0.375	3	3	1/8	1/8	3/4	1	1	3/32		1/16	3/2		1	79	26
55/8	0.125	3	3	7/32	7/32	3/4	1	1	1/32		1/32	1		4	76	27
7	0.375	3	3	1/4	1/4	3/4	1	1	3/32		1/16	3/2		3	81	28
59/8	0.125	3	3	11/32	11/32	3/4	1	1	1/32		1/32	1		1	79	29
15/2	0.375	3	3	3/8	3/8	3/4	1	1	3/32		1/16	3/2		-1	77	30
63/8	0.125	3	3	15/32	15/32	3/4	1	1	1/32		1/32	1		4	76	31
8	0.375	3	3	1/2	1/2	3/4	1	1	3/32		1/16	3/2		-1	77	32
67/8	0.125	3	3	19/32	19/32	3/4	1	1	1/32		1/32	1		0	72	33
17/2	0.5	3	3	5/8	5/8	3/4	2	1	1/8		1/8	1		-1	53	36
17/2	0.5	3	3	5/8	5/8	3/4	2	1	1/8		1/8	1		3	57	36
17/2	0.375	3	3	5/8	5/8	3/4	1	1	3/32		1/16	3/2		2	74	34
71/8	0.125	3	3	23/32	23/32	3/4	1	1	1/32		1/32	1		3	69	35
9	0.5	4	4	0	0	3/4	2	1	1/8		1/8	1		1	55	44
9	0.5	4	4	0	0	3/4	1	1	1/8		1/8	1		2	62	37
9	0.5	4	4	0	0	3/4	1	1	1/8		1/8	1		0	72	37
19/2	0.5	4	4	1/8	1/8	3/4	2	1	1/8		1/8	1		0	48	45
19/2	0.5	4	4	1/8	1/8	3/4	1	1	1/8		1/8	1		4	64	38
19/2	0.5	4	4	1/8	1/8	3/4	1	1	1/8		1/8	1		-2	70	38
10	0.5	4	4	1/4	1/4	3/4	2	1	1/8		1/8	1		-1	53	46
10	0.5	4	4	1/4	1/4	3/4	1	1	1/8		1/8	1		-1	65	39
10	0.5	4	4	1/4	1/4	3/4	1	1	1/8		1/8	1		3	69	39
11	0.25	4	4	1/2	1/2	3/4	1	1	1/16		1/16	1		3	69	40
45/4	0.25	4	4	9/16	9/16	3/4	1	1	1/16		1/16	1		-2	70	41
23/2	0.25	4	4	5/8	5/8	3/4	1	1	1/16		1/16	1		5	71	42
47/4	0.25	4	4	11/16	11/16	3/4	1	1	1/16		1/16	1		0	72	43
12	1.5	5	5	0	0	3/4	2	2	3/8		1/4	3/2		0	48	59
12	1.0	5	5	0	0	3/4	2	1	1/4		1/4	1		3	57	56
12	0.75	5	5	0	0	3/4	1	1	3/16		1/8	3/2		-1	65	47
51/4	0.125	5	5	3/16	3/16	3/4	1	1	1/32		1/32	1		1	67	48
103/8	0.125	5	5	7/32	7/32	3/4	1	1	1/32		1/32	1		-1	65	49
13	0.5	5	5	1/4	1/4	3/4	2	1	1/8		1/8	1		1	55	57
13	0.5	5	5	1/4	1/4	3/4	1	1	1/8		1/8	1		4	64	50
27/2	0.5	5	5	3/8	3/8	3/4	2	2	1/8		1/8	1		-2	58	60
55/4	0.25	5	5	7/16	7/16	3/4	1	1	1/16		1/16	1		4	76	51
14	0.5	5	5	1/2	1/2	3/4	2	2	1/8		1/8	1		3	57	61
14	0.25	5	5	1/2	1/2	3/4	1	1	1/16		1/16	1		1	79	52
57/4	0.25	5	5	9/16	9/16	3/4	1	1	1/16		1/16	1		-1	77	53
29/2	0.5	5	5	5/8	5/8	3/4	2	2	1/8		1/8	1		-1	53	62
29/2	0.5	5	5	5/8	5/8	3/4	2	1	1/8		1/8	1		3	57	58
29/2	0.25	5	5	5/8	5/8	3/4	1	1	1/16		1/16	1		4	76	54
59/4	0.25	5	5	11/16	11/16	3/4	1	1	1/16		1/16	1		2	74	55
15	1.5	6	6	0	0	3/4	2	2	3/8		1/4	3/2		1	55	75
15	1.5	6	6	0	0	3/4	2	1	3/8		1/4	3/2		2	62	72
15	0.75	6	6	0	0	3/4	1	1	3/16		1/8	3/2		0	72	63
63/4	0.125	6	6	3/16	3/16	3/4	1	1	1/32		1/32	1		2	74	64
127/8	0.125	6	6	7/32	7/32	3/4	1	1	1/32		1/32	1		0	72	65
16	0.5	6	6	1/4	1/4	3/4	1	1	1/8		1/8	1		5	71	66
33/2	0.5	6	6	3/8	3/8	3/4	2	2	1/8		1/8	1		-1	53	76
33/2	0.5	6	6	3/8	3/8	3/4	2	1	1/8		1/8	1		-5	61	73
67/4	0.25	6	6	7/16	7/16	3/4	1	1	1/16		1/16	1		-2	70	67
17	0.5	6	6	1/2	1/2	3/4	2	2	1/8		1/8	1		4	52	77
17	1.0	6	6	1/2	1/2	3/4	2	1	1/4		1/4	1	1	0	60	74
17	0.25	6	6	1/2	1/2	3/4	1	1	1/16		1/16	1		-2	82	68
69/4	0.25	6	6	9/16	9/16	3/4	1	1	1/16		1/16	1		1	79	69
35/2	0.5	6	6	5/8	5/8	3/4	2	2	1/8		1/8	1		-2	58	78
35/2	0.25	6	6	5/8	5/8	3/4	1	1	1/16		1/16	1		-1	77	70
71/4	0.25	6	6	11/16	11/16	3/4	1	1	1/16		1/16	1		4	76	71
18	1.0	7	7	0	0	3/4	2	2	1/4		1/4	1		3	57	96
18	1.0	7	7	0	0	3/4	2	1	1/4		1/4	1	-1	0	60	95
18	0.125	7	7	0	0	3/4	1	1	1/32		1/32	1		-1	77	79
145/8	0.125	7	7	1/32	1/32	3/4	1	1	1/32		1/32	1		1	79	80
73/4	0.125	7	7	1/16	1/16	3/4	1	1	1/32		1/32	1		-1	77	81
147/8	0.125	7	7	3/32	3/32	3/4	1	1	1/32		1/32	1		1	79	82
37/2	0.125	7	7	1/8	1/8	3/4	1	1	1/32		1/32	1		3	81	83
149/8	0.125	7	7	5/32	5/32	3/4	1	1	1/32		1/32	1		-2	82	84
75/4	0.125	7	7	3/16	3/16	3/4	1	1	1/32		1/32	1		3	81	85
151/8	0.125	7	7	7/32	7/32	3/4	1	1	1/32		1/32	1		-2	82	86
19	0.5	7	7	1/4	1/4	3/4	1	1	1/8		1/8	1		0	84	87
39/2	0.5	7	7	3/8	3/8	3/4	2	2	1/8		1/8	1		3	45	97
